docid,actualdate,inferreddate,firstpub,recept,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birth,gender,nationality,othername,notes,canon,DEAD,WIND,RED,STRANGE,HALF,GREY,TIS,BETWEEN,FAITH,WOMAN,GRASS,SUDDEN,BROWN,LEST,YELLOW,SHUT,HOLLOW,MOUTH,WOMEN,NIGHTS,DUMB,WRITTEN,BLOWN,STIR,ASLEEP,I_LL,LAUGHED,NATION,HERS,SCENES,WAN,I_VE,TREASURES,KNEES,FRIENDSHIP,NAKED,PEN,STRAINS,ACHING,SITTING,YESTERDAY,GARDENS,PASSIONATE,PURSUE,WE_LL,WOULDST,CREEPING,DUSK,BROODING,UNDERNEATH,SMOTE,BREATHLESS,SAVIOUR,REIGNS,BLOWING,HARSH,COLOURED,DUSTY,VAGUE,MOANING,IMPART,JESUS,CURLED,HURRYING,SHAKEN,FOLK,BESTOW,HURT,MISSION,LONDON,BEATEN,ALIEN,DRIPPING
uc2.ark+=13960=t71v5dh7m,1896,1896,1896,random,7666485,,Main[COMMA] William.,Melbourne;George Robertson;1896.,,Bush solitudes and other verses,,,,,,1860,m,au,,,,3,3,0,6,5,0,8,7,0,2,3,0,3,0,2,0,0,0,10,0,1,0,0,1,0,0,1,0,0,1,0,3,1,0,1,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0
nyp.33433069354185,1896,1896,1896,random,8657956,,Pitcher[COMMA] James[COMMA],Hartwick Seminary[COMMA] N.Y.;J. Pitcher;1896.,,The hermit of Moss Pond,,,,,,1845,m,us,,,,7,1,2,19,15,4,19,6,7,2,0,0,3,3,0,1,0,3,1,1,0,1,0,1,1,2,1,1,0,0,0,0,3,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
uc2.ark+=13960=t07w6cd1m,1895,1895,1895,reviewed,7693626,1822323,Watson[COMMA] Rosamund Marriott[COMMA],London;J. Lane;Chicago;Way and Williams;1895.,,Vespertilia and other verses,pub,,,1895,YB,1860,f,uk,Tomson[COMMA] Graham R,,,20,39,13,17,7,28,2,5,2,2,3,2,5,3,5,0,6,1,0,1,0,0,3,2,0,0,2,0,3,0,2,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,4,0,0,1,1,0,0,2,0,3,1,1,0,0,0,1,1,0,2,0,0,0,5,1,0,0
nyp.33433075838023,1895,1895,1895,reviewed,8658014,16124963,Stoddard[COMMA] Elizabeth[COMMA],Boston and;New York;Houghton[COMMA] Mifflin and Company;1895;(Cambridge;The Riverside Press).,,Poems,rev,pos,,1896,ATL,1823,f,us,,,,21,17,6,2,2,10,0,7,2,9,13,1,3,1,14,2,2,2,6,5,1,0,0,1,1,1,0,1,1,1,0,0,0,2,1,3,0,0,0,0,1,1,0,1,0,0,3,0,0,2,3,0,0,2,0,1,2,0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,1
uc1.b3546464,1895,1895,1895,reviewed,6672109,6566556,Johnson[COMMA] Lionel Pigot[COMMA],London;E. Mathews;Boston;Copeland & Day;1895.,,Poems,rev,pos,,1899,FR,1867,m,uk,,, ,42,58,42,11,2,32,1,7,9,1,7,6,4,2,2,1,0,0,3,7,0,2,6,3,0,0,0,0,0,0,5,0,1,1,5,0,0,1,3,0,1,1,18,0,0,1,0,1,4,0,1,0,0,3,4,1,0,2,0,0,0,0,0,0,1,1,0,2,0,5,0,3,1
uc2.ark+=13960=t4gm84g69,1895,1895,1895,random,6509532,,Cocke[COMMA] Zitella[COMMA],Boston;Copeland and Day;1895.,,A Doric reed,,,,,,1840,f,us,,,,8,7,5,2,6,4,4,4,0,3,3,1,0,1,3,0,1,0,0,0,0,0,0,0,0,1,3,1,3,0,0,0,3,0,0,1,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,1,1,1,0,1,0,1,0
loc.ark+=13960=t9183w60x,1895,1895,1895,random,6516864,,Savage[COMMA] Richard[COMMA],Chicago and New York;F. T. Neely;1895.,,After many years,,,,,,1846,m,us,,,,29,14,15,9,2,19,27,3,5,29,4,3,6,2,2,1,3,2,6,1,0,0,4,1,0,11,1,1,1,4,1,29,3,1,5,0,3,1,2,0,0,2,1,0,4,0,3,1,3,3,2,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,2,4,0
uc2.ark+=13960=t14m91w7c,1895,1895,1895,random,7660685,,Groser[COMMA] Horace George.,Edinburgh;A. Melrose;dedication[COMMA] 1895,,Little folks land,,,,,,1863,m,uk,,not actually juvenile audience,,2,6,8,4,4,5,5,2,0,0,6,2,4,2,3,1,0,0,0,0,0,0,1,0,1,3,1,0,0,2,0,2,1,1,0,0,1,0,0,1,0,2,0,0,3,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
loc.ark+=13960=t6543bf6c,1894,1894,1894,reviewed,9558530,6148800,Rogers[COMMA] Robert Cameron[COMMA],New York;London;G. P. Putnam[APOSTROPHE]s Sons;1894.,,The wind in the clearing,rev,,,1895,ATL,1862,m,us,,,,9,23,2,7,21,10,0,2,1,1,1,6,2,1,4,2,3,0,1,1,0,0,0,0,8,0,4,0,0,0,0,0,1,1,0,0,4,0,0,1,1,0,0,0,0,0,0,3,0,1,0,5,0,0,0,2,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0
uc2.ark+=13960=t0zp3xm93,1894,1894,1894,reviewed,7674510,8912486,Tabb[COMMA] John B.,Boston;Small;1900[COMMA] c1894.,,Poems,rev,,,1895,ATL,1845,m,us,,,,7,4,3,1,4,3,6,7,2,0,0,2,0,7,0,3,0,1,0,1,3,0,4,1,2,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
