docid,actualdate,inferreddate,firstpub,recept,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birth,gender,nationality,othername,notes,canon
loc.ark+=13960=t18k7vr3q,1887,1887,1887,reviewed,8404936,3825019,Roche[COMMA] James Jeffrey[COMMA],Boston;Ticknor and Company;1887.,,Songs and satires,rev,,,1887,ATL,1847,m,us,,,
loc.ark+=13960=t9572954w,1887,1887,1887,reviewed,7655156,3362759,Cranch[COMMA] Christopher Pearse[COMMA],Boston and New York;Houghton[COMMA] Mifflin and Co.;1887.,,Ariel and Caliban,rev,,,1887,ATL,1813,m,us,,,
nyp.33433075742027,1887,1887,1887,reviewed,8657540,16125657,Thomas[COMMA] Edith Matilda[COMMA],Boston;New York;Houghton[COMMA] Mifflin and Company;1889[COMMA] c1887;(Cambridge;The Riverside Press).,,Lyrics and sonnets,rev,pos,,1888,ATL,1854,f,us,,,
loc.ark+=13960=t81k00b4k,1887,1887,1887,random,9589818,,Teske[COMMA] T. Alcliffe.,Hartford[COMMA] Conn.;Published by T. Alcliffe Teske;1887.,,Heart echoes,,,,,,,f,,Courtney[COMMA] T. Alcliffe,,
mdp.39015063920428,1887,1887,1887,random,779882,,Kail[COMMA] Mary E.[COMMA],Washington[COMMA] D. C.;Judd & Detweiler[COMMA] printers;1887.,,Crown our heroes,,,,,,1828,f,us,,,
njp.32101051389870,1887,1887,1887,random,8899357,,Harrison[COMMA] Harry.,Clapham;Published by the author;Settle;Printed by J.W. Lambert;1887.,,Poems,,,,,,,m,,,,
nyp.33433066571302,1887,1887,1887,random,8656636,,Read[COMMA] Jane Maria[COMMA],Boston;Henry A. Young & Co.[COMMA] publishers;1887.,,Between the centuries and other poems,,,,,,1853,f,us,,,
loc.ark+=13960=t5fb5nd8n,1887,1887,1887,random,9585786,,Paxton[COMMA] W. M.,Kansas City[COMMA] Mo.;Press of Ramsey[COMMA] Millett & Hudson;1887.,,Poems,,,,,,1819,m,us,,,
mdp.39015063947066,1887,1887,1887,random,324276,,O[APOSTROPHE]Hagan[COMMA] Thomas[COMMA],Toronto;W. Briggs;1887.,,A gate of flowers,,,,,,1855,m,ca,,,
loc.ark+=13960=t7vm4v20f,1887,1887,1887,random,8656900,,Williams[COMMA] Dwight[COMMA],New York;Phillips & Hunt;1887.,,The beautiful city in song[COMMA] and other poems,,,,,,1824,m,us,,,
uc2.ark+=13960=t3tt4g15h,1886,1886,1886,reviewed,322307,3718661,O[APOSTROPHE]Reilly[COMMA] John Boyle[COMMA],Boston;The Pilot publishing co.;c1886,,In Bohemia,rev,,,1887,ATL,1844,m,ir,,,
loc.ark+=13960=t2891sf2m,1886,1886,1886,reviewed,9595695,,Thaxter[COMMA] Celia[COMMA],Boston;Houghton[COMMA] Mifflin;1886.,,The cruise of the Mystery[COMMA] and other poems,rev,,,1887,ATL,1835,f,us,,,
uc1.b155433,1886,1886,1886,reviewed,5908799,2700182,Allen[COMMA] Elizabeth Akers[COMMA],Boston;New York;Houghton[COMMA] Mifflin and Company;1886.,,The silver bridge,rev,,,1887,ATL,1832,f,us,,,
loc.ark+=13960=t4nk3w12z,1886,1886,1886,reviewed,8994309,3179649,Adams[COMMA] Oscar Fay[COMMA],Boston;D. Lothrop and company;1886,,Post-laureate idyls,rev,,,1887,ATL,1855,m,us,,,
njp.32101068176153,1886,1886,1886,reviewed,8969003,8601437,Carpenter[COMMA] Henry Bernard[COMMA],Boston;Ticknor and company;c1886,,Liber amoris,rev,,,1887,ATL,1840,m ,ir,,,
njp.32101067629178,1886,1886,1886,reviewed,8961191,7990999,Bates[COMMA] Arlo[COMMA],Boston;Roberts Brothers;1888[COMMA] c1886.,,Berries of the brier,rev,,,1887,ATL,1850,m,us,,,
loc.ark+=13960=t6n01p000,1886,1886,1886,random,8656522,,Hale[COMMA] William[COMMA],Biddeford[COMMA] Me.;Printed at the Biddeford journal office;1886.,,Shore life in song,,,,,,1856,m,us,,,
loc.ark+=13960=t05x2xf3v,1886,1886,1886,random,9600054,,Greene[COMMA] Aella[COMMA],Holyoke[COMMA] Mass.;Clark W. Bryan & Company[COMMA] electrotypers[COMMA] printers and binders;1886.,,The poetical works of Aella Greene,,,,,,1838,f,us,,,
wu.89098029051,1886,1886,1886,random,6775667,,Henry[COMMA] S. M. I.,Chicago;The Woman[APOSTROPHE]s Temperance Pub. Ass[APOSTROPHE]n.;1886.,,The marble cross,,,,,,1839,f,us,Henry[COMMA] Sarepta M. I.,,
njp.32101067004133,1886,1886,1886,random,8955839,,Thom[COMMA] Robert W.[COMMA],Glasgow;Maclaren;1886.,,Poems and ballads,,,,,,1816,m,uk,,,
nyp.33433066637236,1886,1886,1886,random,8656257,,Harris[COMMA] Thomas Lake[COMMA],Santa Rosa[COMMA] Calif.;Fountaingrove Press;1886.,,The joy-bringer,,,,,,1823,m,us,,,
uc1.b2831659,1886,1886,1886,random,7351507,,<blank>,London;Stock;1886.,,Chimes from a poet[APOSTROPHE]s belfrey,,,,,,,,,,,
mdp.39015013092401,1885,1885,1885,reviewed,288161,580646,Tennyson[COMMA] Alfred Tennyson[COMMA],London;Macmillan and Co.;1885.,,Tiresias,rev,pos,,1886,FR,1809,m,uk,,,y
njp.32101068604063,1891,1891,1885,reviewed,8973739,34196496,Stevenson[COMMA] Robert Louis[COMMA],New York;C. Scribner[APOSTROPHE]s Sons;1891.,,A child[APOSTROPHE]s garden of verses,rev,pos,,1896,FR,1850,m,uk,,juv,
mdp.39015048998879,1886,1886,1885,random,1059350,,Hapgood[COMMA] Isabel Florence[COMMA],New York;C. Scribner[APOSTROPHE]s sons;1886.,,The epic songs of Russia,,,,,,1851,f,us,,,
uc2.ark+=13960=t9h41kc6j,1885,1885,1885,random,7663460,,Jordan[COMMA] Margaret E.,Portland[COMMA] Me.;McGowan and Young;1885,,Echoes from the pines,,,,,,1856,f,us,,,
uc2.ark+=13960=t9w08xj0q,1884,1884,1884,reviewed,1027370,1832787,Guiney[COMMA] Louise Imogen[COMMA],Boston;Cupples[COMMA] Upham;1884.,,Songs at the start,rev,pos,,1884,ATL,1861,f,us,,,
uc2.ark+=13960=t04x56q61,1884,1884,1884,reviewed,6641347,4820562,Robinson[COMMA] A. Mary F.,Boston;Roberts Brothers;1884.,,The new Arcadia and other poems,rev,neg,,1884,ATL,1857,f,uk,Duclaux[COMMA] Agnes Mary Frances,,
loc.ark+=13960=t5k93n92j,1884,1884,1884,random,7650811,,Baxter[COMMA] James Phinney[COMMA],Portland [Me.;Hoyt[COMMA] Fogg[COMMA] and Donham;1884.,,Idyls of the year,,,,,,1831,m,us,,,
nyp.33433066626916,1886,1886,1883,reviewed,8657327,16125306,Nichols[COMMA] Starr Hoyt[COMMA],New York &;Chicago;Belford[COMMA] Clarke & Co.;1886.,,Monte Rosa,rev,,,1883,ATL,1834,m,us,,,
nyp.33433075742266,1883,1883,1883,reviewed,1027891,1655279,Thompson[COMMA] Maurice[COMMA],Boston;J. R. Osgood and company;1883.,,Songs of fair weather,rev,,,1883,ATL,1844,m,us,,,
wu.89099777773,1890,1890,1883,random,8995994,,Croffut[COMMA] W. A.,New York;H. Holt and Company;1890.,,A midsummer lark,,,,,,1835,m,us,,,
loc.ark+=13960=t9d519g22,1883,1883,1883,random,8658390,,Underwood[COMMA] John[COMMA],Chicago;Knight & Leonard;1883.,,El muza,,,,,,1818,m,us,,,
loc.ark+=13960=t4dn4q68x,1883,1883,1883,random,8657661,,Hill[COMMA] Theophilus H.,Raleigh[COMMA] N.C.;P. W. Wiley;1883.,,Passion flower[COMMA] and other poems,,,,,,1836,m,us,,,
loc.ark+=13960=t1zc8q99n,1882,1882,1882,reviewed,9577654,,Spofford[COMMA] Harriet Elizabeth Prescott[COMMA],Boston;Houghton[COMMA] Mifflin and company;1882.,,Poems,rev,pos,,1882,ATL,1835,f,us,,,
loc.ark+=13960=t3vt2bg76,1882,1882,1882,random,9576347,,[Valentine[COMMA] Laura Jewry[COMMA],Cincinnati[COMMA] Ohio;P.G. Thomson;c1882.,,The tempest,,,,,,1814,f,uk,,juvenile audience,
uc2.ark+=13960=t6vx09698,1882,1882,1882,random,6518259,,Bailey[COMMA] Urania Locke Stoughton[COMMA],New York;G. P. Putnam[APOSTROPHE]s sons;1882.,,Star-flowers,,,,,,1820,f,us,,,
uc1.b183776,1882,1882,1882,random,384548,,Alcott[COMMA] Amos Bronson[COMMA],Boston;Roberts Brothers;1882.,,Sonnets and canzonets,,,,,,1799,m,us,,,
loc.ark+=13960=t9f48bc94,1882,1882,1882,random,9596825,,Seibert[COMMA] John.,Chicago;Cushing[COMMA] Thomas & Co.;1882.,,The morning star,,,,,,,f,,,,
loc.ark+=13960=t41r7d74g,1882,1882,1881,reviewed,9609989,,Rossetti[COMMA] Dante Gabriel[COMMA],Boston;Roberts brothers;1882.,,Ballads and sonnets,rev,pos,,1882,MM,1848,m,uk,,,y
loc.ark+=13960=t5r78vg3h,1881,1881,1881,reviewed,8657102,15225792,Innsly[COMMA] Owen[COMMA],Boston;A. Williams and Company ...;1881.,,Love poems and sonnets,rev,pos,,1882,ATL,1850,f,us,Jennison[COMMA] Lucy White,obscure,
nyp.33433082169420,1881,1881,1881,reviewed,8658259,3323390,Larcom[COMMA] Lucy[COMMA],Boston;Houghton[COMMA] Mifflin;1881.,,Wild roses of Cape Ann,rev,,,1881,ATL,1824,f,us,,,
mdp.39015033891238,1881,1881,1881,reviewed,780982,2222803,Trowbridge[COMMA] J. T.,Boston;Houghton[COMMA] Mifflin and company;1881.,,A home idyl,rev,,,1881,ATL,1827,m,us,,,
uc1.31822038204301,1881,1881,1881,reviewed,10824214,5175655,Wilde[COMMA] Oscar[COMMA],London;D. Bogue;1881,,Poems,rev,,,1881,ATL,1854,m,ir,,,y
uc2.ark+=13960=t5w66h075,1881,1881,1881,reviewed,907489,387912,Palgrave[COMMA] Francis Turner[COMMA],London;Macmillan;1881.,,The visions of England,rev,pos,,1882,MM,1824,m,uk,,,
uc2.ark+=13960=t9n29q258,1881,1881,1881,reviewed,7657492,2719145,Fields[COMMA] Annie[COMMA],Boston;Houghton[COMMA] Mifflin and company;1881.,,Under the olive,rev,,,1881,ATL,1834,f,us,Fields[COMMA] Annie Adams,,
uc1.b165755,1881,1881,1881,random,6641344,,Eastman[COMMA] Elaine Goodale[COMMA],New York;G. P. Putnam[APOSTROPHE]s sons;1881.,,All round the year,,,,,,1863,f,us,,,
loc.ark+=13960=t55d9m11n,1881,1881,1881,random,7657255,,Eckerson[COMMA] Theodore John.,Cambridge;Printed at the Riverside Press;1881.,,When my ship comes in,,,,,,1821,m,us,,,
uc2.ark+=13960=t3fx7491s,1881,1881,1881,random,7031482,,Knowles[COMMA] William[COMMA],Indianapolis;Carlon & Hollenbeck;1881.,,Poems,,,,,,,m,,,,
nyp.33433066626502,1881,1881,1881,random,8657586,,Oberholtzer[COMMA] Sara Louisa[COMMA],Philadelphia;J.B. Lippincott & Co.;1882[COMMA] c1881.,,Come for Arbutus,,,,,,1841,f,us,,, 
inu.32000007041967,1881,1881,1881,reviewed,6059237,,Morris[COMMA] William[COMMA],Boston;Roberts;1881.,,The story of Sigurd the Volsung and the fall of Niblungs,,,,1867,FR,1834,m,uk,,Published later than review date,y
uc1.b325378,1881,1881,1881,random,3107168,,Gordon[COMMA] Hanford Lennox[COMMA],St. Paul[COMMA] Minn.;St. Paul Book and Stationery Co.;1881.,,Legends of the Northwest,,,,,,1836,m,us,,,
uc2.ark+=13960=t6g160f1q,1881,1881,1881,random,7693138,,Thomson[COMMA] David[COMMA],Edinburgh;Thomson;1881.,,Musings among the heather,,,,,,1806,m,uk,,,
njp.32101063702987,1881,1881,1881,random,8918089,,Randolph[COMMA] Anson D. F.,New York;A.D.F. Randolph & Company;1881,,Easter chimes,,,,,,1820,m,us,,,
uc1.b166039,1880,1880,1880,reviewed,6641553,24308060,Morris[COMMA] Lewis[COMMA],London;C. Kegan Paul;1880.,,The ode of life,rev,,,1880,ATL,1833,m,uk,,,
loc.ark+=13960=t3805w074,1880,1880,1880,reviewed,8655451,11417908,Backus[COMMA] Elizabeth Welch.,Philadelphia;J.B. Lippincott & Co.;1880.,,Three friends[APOSTROPHE] fancies,rev,,,1880,ATL,,f,,,,
mdp.39015063753589,1880,1880,1880,reviewed,244525,1356896,Arnold[COMMA] Edwin[COMMA],Boston;Robert brothers;1880.,,Poems,rev,,,1881,ATL,1832,m,uk,,,
uc2.ark+=13960=t6pz52584,1880,1880,1880,reviewed,7661414,276436,Holmes[COMMA] Oliver Wendell[COMMA],Boston;Houghton[COMMA] Mifflin and company;1880.,,The iron gate,rev,,,1880,ATL,1809,m,us,,,y
inu.32000000641847,1880,1880,1880,reviewed,6061144,2549072,Thomson[COMMA] James[COMMA],London;Reeves and Turner;1880.,,The city of dreadful night,rev,,,1880,FR,1834,m,uk,,,
uc2.ark+=13960=t5bc3tb51,1880,1880,1880,reviewed,7649012,3583782,Peacock[COMMA] Thomas Brower[COMMA],New York;G. W. Carleton & co.;1880.,,The rhyme of the border war,rev,,,1881,ATL,1852,m,us,,,
uc2.ark+=13960=t3bz6276h,1880,1880,1880,reviewed,7660565,13473939,Greenough[COMMA] Richard S.[COMMA],Boston;James R. Osgood & Co. ...;1883[COMMA] c1880.,,Mary Magdalene,rev,pos,,1881,ATL,1827,f,us,Greenough[COMMA] Richard S.[COMMA] Mrs.,,
nyp.33433066638408,1882,1882,1880,reviewed,8656819,15625148,Longfellow[COMMA] Henry Wadsworth[COMMA],Boston;Houghton[COMMA] Mifflin and Company;1882[COMMA] c1880;(Cambridge;The Riverside Press),,Ultima Thule,rev,,,1880,ATL,1807,m,us,,,y
wu.89098012313,1880,1880,1880,reviewed,5946364,10245762,Bostwick[COMMA] Helen Louise Barron[COMMA],Philadelphia;E. Claxton;1880.,,Four-o[APOSTROPHE]clocks,rev,,,1881,ATL,1826,f,us,,obscure,
mdp.39015065549217,1880,1880,1880,reviewed,5265108,1658699,Marston[COMMA] Philip Bourke[COMMA],London;E. Stock;188-?,,Wind-voices,rev,pos,,1892,FR,1850,m,uk,,,
mdp.39015055468584,1880,1880,1880,random,1032316,,Greenaway[COMMA] Kate[COMMA],New York;G. Routledge & sons;1880?,,Under the window;,,,,,,1846,f,uk,,juv,
njp.32101064713173,1880,1880,1880,random,9245174,,Selden[COMMA] Samuel[COMMA],Norfolk[COMMA] Va.;Landmark Book and Job Steam Print;1880.,,Poems,,,,,,1843,m,us,,,
loc.ark+=13960=t8cf9tk39,1880,1880,1880,random,9605999,,Kyner[COMMA] James Henry[COMMA],Omaha[COMMA] Neb.;H. Gibson[COMMA] H. Gibson[COMMA] Herald printing establishment;1880.,,Odes[COMMA] hymns and songs of the G. A. R,,,,,,1846,m,us,,,
njp.32101068168077,1880,1880,1880,random,8968415,,Craik[COMMA] Dinah Maria Mulock[COMMA],London;Macmillan;1880.,,Thirty years,,,,,,1826,f,uk,,,
uc2.ark+=13960=t3xs5ms31,1880,1880,1880,random,1186856,,Symonds[COMMA] John Addington[COMMA],London;Smith[COMMA] Elder;1880.,,New and old,,,,,,1840,m,uk,,,
uc2.ark+=13960=t4pk09t89,1880,1880,1880,random,6509047,,St. John[COMMA] Charles Henry.,Boston;Williams;1880.,,Country love and city life,,,,,,1830,m,,,,
uc2.ark+=13960=t5w66g25p,1884,1884,1880,random,7693259,,Turner[COMMA] Charles Tennyson[COMMA],London;Macmillan;1884.,,Collected sonnets[COMMA] old and new,,,,,,1808,m,uk,,,
nyp.33433076013501,1880,1880,1880,random,8656061,,Currier[COMMA] Moody[COMMA],Manchester[COMMA] N.H.;Mirror Press;1880.,,Early poems,,,,,,1806,m,us,,,
nyp.33433082171996,1880,1880,1880,random,8656280,,Goddard[COMMA] Sextus P.,Worcester[COMMA] Mass.;L. P. Goddard;1880.,,Buds[COMMA] briars and berries,,,,,,1836,m,us,,,
uc1.b798791,1879,1879,1879,reviewed,6103025,3110682,Ryan[COMMA] Abram Joseph[COMMA],Mobile;J. L. Rapier & co.;1879,,Father Ryan[APOSTROPHE]s poems,rev,,,1880,ATL,1838,m,us,,,
nyp.33433066643903,1879,1879,1879,reviewed,8660011,16409225,Bates[COMMA] Charlotte Fiske[COMMA],Boston;A. Williams and Co.;1881[COMMA] c1879.,,Risk[COMMA] and other poems,pub,,,1870,ATL,1838,f,us,,,
loc.ark+=13960=t5t72zr45,1879,1879,1879,random,9575256,,Eastman[COMMA] Elaine Goodale[COMMA],New York;G. P. Putnam[APOSTROPHE]s sons;1879-80.,,In Berkshire with the wild flowers,,,,,,1863,f,us,,,
loc.ark+=13960=t46q2j373,1880,1880,1878,random,9560074,,Jones[COMMA] Julia Clinton.,New York;R. Worthington;1880.,,Valhalla,,,,,,1842,f,us,,,
wu.89098011836,1878,1878,1878,random,5946347,,Bell[COMMA] Lura[COMMA],Augusta[COMMA] Me.;s.n.;1878.,,Echoes of time and tide,,,,,,1859,f,us,,,
uc1.b3315087,1900,1900,1878,random,6130679,,Riley[COMMA] James Whitcomb[COMMA],Indianapolis;Bobbs-Merrill;c1900,,The flying islands of the night,,,,,,1849,m,us,,Well-known,
uc2.ark+=13960=t7vm4642f,1878,1878,1878,reviewed,6518314,2495953,Elliot[COMMA] Charlotte[COMMA],London;C. Kegan Paul & Co.;1878.,,Medusa and other poems,rev,pos,,1878,BM,1789,f,uk,,,
uc2.ark+=13960=t9p26w55v,1878,1878,1878,reviewed,7691551,4077880,Phillips[COMMA] Susan K.,London;Macmillan;1878.,,On the seaboard,rev,,,1879,COR,1831,f,uk,,,
uc2.ark+=13960=t5fb55w84,1878,1878,1878,reviewed,1112868,999472,Swinburne[COMMA] Algernon Charles[COMMA],London;Chatto and Windus ...;1878.,,Poems and ballads[COMMA] second series,pub,,,1874,FR,1837,m,uk,,,y
loc.ark+=13960=t5n881k59,1878,1878,1878,reviewed,8961861,3816064,Fawcett[COMMA] Edgar[COMMA],Boston;Roberts brothers;1878.,,Fantasy and passion,rev,pos,,1878,ATL,1847,m,us,,,
loc.ark+=13960=t9w09kt0j,1878,1878,1878,reviewed,8656166,3171635,Gilder[COMMA] Richard Watson[COMMA],New York;C. Scribner[APOSTROPHE]s sons;1878.,,The poet and his master,rev,neg,,1879,ATL,1844,m,us,,,
loc.ark+=13960=t00z7s04j,1878,1878,1878,reviewed,9605205,,McKnight[COMMA] George[COMMA],New York;H. Holt and company;1878.,,Life and faith[COMMA] sonnets,rev,pos,,1879,ATL,1840,m,us,,,
uc2.ark+=13960=t0qr4p29x,1878,1878,1878,random,1907824,,Hopkins[COMMA] Alphonso A.,1878,,Waifs[COMMA] and their authors,,,,,,,,,,anthology of [APOSTROPHE]newspaper poets[APOSTROPHE],
njp.32101068177599,1878,1878,1878,random,8969083,,Edwards[COMMA] Alfred.,Plymouth;Brendon;1878.,,Incidents in the career of Coeur de Lion,,,,,,,,,,,
loc.ark+=13960=t8ff4bv0c,1878,1878,1878,random,9596023,,Means[COMMA] Alexander[COMMA],New York;E. J. Hale & son;1878.,,A cluster of poems,,,,,,1801,m,us,,,
uc1.b273058,1878,1878,1878,random,8009602,,Poston[COMMA] Charles D.,San Francisco;A. L. Bancroft & Company;1878.,,Apache-land,,,,,,1825,m,us,,,
uc2.ark+=13960=t7kp7vd46,1878,1878,1878,random,7654035,,Brunton[COMMA] William[COMMA],Boston;s.n.;1879[COMMA] c1878.,,Daisies,,,,,,1850,m,us,,,
loc.ark+=13960=t3rv14c6x,1878,1878,1878,random,9573071,,Murphy[COMMA] John Albert[COMMA],Chicago;M. Warren;1878.,,Cosmostoria,,,,,,1837,m,us,,,
uc1.b253348,1878,1878,1878,random,6504377,,Cowan[COMMA] Frank[COMMA],Greensburg[COMMA] Pa.;Printed by the Author;1878.,,Southwestern Pennsylvania in song and story,,,,,,1844,m,us,,,
uc2.ark+=13960=t48p67m2g,1878,1878,1877,reviewed,1024247,2156914,Patmore[COMMA] Coventry Kersey Dighton[COMMA],London;G. Bell;1878.,,The unknown Eros,rev,pos,,1897,FR,1823,m,uk,,,
uc1.b182449,1877,1877,1877,reviewed,1023623,4023098,Dobson[COMMA] Austin[COMMA],London;H. S. King;1877.,,Proverbs in porcelain[COMMA] and other verses,rev,,,1877,COR,1840,m,uk,,,
uc1.b255800,1877,1877,1877,random,,,Budge[COMMA] Jane[COMMA],London;S. Harris;1877.,,Poems.,,,,,,,f,uk,,,
mdp.39015071556941,1877,1877,1877,random,3149243,,King[COMMA] Delia Chase,Ypsilanti[COMMA] Mich.;Commercial Steam Printing House;1877.,,The tidal wave,,,,,,,f,us,,,
uc1.b3315153,1875,1875,1875,reviewed,6130725,4141256,Scott[COMMA] William Bell[COMMA],London;Longmans[COMMA] Green;1875.,,Poems,pub,,,1868,FR,1811,m,uk,,,
uc2.ark+=13960=t07w68f3s,1875,1875,1875,reviewed,323743,15225552,Lathrop[COMMA] George Parsons[COMMA],Boston;J. R. Osgood and company;1875.,,Rose and roof-tree,rev,,,1875,ATL,1851,m,us,,,
uc2.ark+=13960=t82j69g7s,1875,1875,1875,reviewed,7651784,10194272,Baker[COMMA] George Augustus[COMMA],New York;Patterson;1875.,,Point lace and diamonds,rev,,,1875,ATL,1849,m,us,,,
loc.ark+=13960=t9r21qp19,1880,1880,1875,reviewed,9566854,,Gilder[COMMA] Richard Watson[COMMA],New York;C. Scribner[APOSTROPHE]s sons;1880.,,The new day,rev,,,1875,ATL,1844,m,us,,,
nyp.33433076026503,1875,1875,1875,reviewed,8689573,2544849,Cranch[COMMA] Christopher Pearse[COMMA],Boston;James R. Osgood and Company;1875.,,The bird and the bell,rev,,,1875,ATL,1813,m,us,,,
uc1.b119720,1875,1875,1875,random,,,Veitch[COMMA] John[COMMA],,,The Tweed[COMMA] and Other Poems,,,,,,1829,m,uk,,,
uc1.b119185,1875,1875,1875,random,,,Anderson[COMMA] Alexander,,,The Two Angels,,,,,,1845,m,uk,,,
uc2.ark+=13960=t7gq6x66b,1875,1875,1875,reviewed,,,Swinburne[COMMA] Algernon Charles[COMMA],London;Chatto and Windus ...;1875.,,Songs of two nations,,,,1873,FR,1837,m,uk,,,y
nyp.33433066625991,1875,1875,1875,random,8657429,,Peckham[COMMA] P. Annetta.,Chicago;Peckham;1875.,,Welded links,,,,,,,,,,,
uc2.ark+=13960=t14m95k32,1875,1875,1875,random,7693552,,Waller[COMMA] Bryan Charles.,London;George Bell and Sons;1875.,,The twilight land,,,,,,1853,m,uk,,,
mdp.39015065460522,1875,1875,1875,random,5265257,,Moffat[COMMA] James C.,New York;Anson D.F. Randolph & Company ...;c1875.,,Alwyn,,,,,,1811,m,uk,,,
uc2.ark+=13960=t1bk1c13v,1875,1875,1875,random,7691866,,Rhoades[COMMA] James[COMMA],London;H.S. King;1875.,,Timoleon;,,,,,,1841,m,uk,,,
loc.ark+=13960=t5s75wn6s,1874,1874,1874,reviewed,8656914,6340366,Hudson[COMMA] H. R.,Boston;J. R. Osgood and Company;1874.,,Poems,pub,,,1874,ATL,,,,,obscure,
uc1.b274713,1875,1875,1874,reviewed,6518166,3801953,Perry[COMMA] Nora[COMMA],Boston;J. R. Osgood;1875.,,After the ball,rev,pos,,1874,ATL,1831,f,us,,,
uva.x000169685,1874,1874,1874,reviewed,9789400,3200115,Rankine[COMMA] William John Macquorn[COMMA],Glasgow;James Maclehose;1874.,,Songs and fables,pub,,,1862,BM,1820,m,uk,,published in Blackwoods,
uc2.ark+=13960=t0tq5ww75,1874,1874,1874,reviewed,6130501,11400948,Lytton[COMMA] Edward Robert Bulwer Lytton[COMMA],Edinburgh;London;William Blackwood and Sons;1874.,v.2,Fables in song,rev,,,1874,FR,1803,m,uk,,,
uc2.ark+=13960=t7pn9f10q,1874,1874,1874,reviewed,6130501,11400948,Lytton[COMMA] Edward Robert Bulwer Lytton[COMMA],Edinburgh;London;William Blackwood and Sons;1874.,v.1,Fables in song,rev,,,1874,FR,1803,m,uk,,,
loc.ark+=13960=t9572953d,1874,1874,1874,random,8656270,,Glover[COMMA] H. C.,New York;J. W. Stoops;1874.,,Rights and wrongs of woman,,,,,,,,,,,
umn.31951d008327233,1874,1874,1874,random,8373661,,Hall[COMMA] C. A.,Philadelphia;J. A. Wagenseller[COMMA] printer;1874.,,Songs for the Grange[COMMA] dedicated to the Order of Patrons of Husbandry in the United States,,,,,,1838,m,us,,,
uc2.ark+=13960=t0bv7gp3c,1874,1874,1874,random,7689851,,,Grantham;Ridge;1874.,,Lays of the Belvoir Hunt,,,,,,,,,,,
njp.32101067707651,1874,1874,1874,random,8964911,,Beck[COMMA] Edward Anthony[COMMA],Brighton?;Curtis;1874?,,The Holy sepulchre,,,,,,1848,m,uk,,,
uc2.ark+=13960=t5w66g74f,1873,1873,1873,reviewed,7688304,10436993,Gosse[COMMA] Edmund[COMMA],London;Henry S. King;1873.,,On viol and flute,rev,pos,,1883,ATL,1849,m,uk,,,
njp.32101067632925,1873,1873,1873,random,8961379,,Dobson[COMMA] Austin[COMMA],London;H.S. King & Co. ...;1873.,,Vignettes in rhyme and vers de soci̩t̩ (now first collected),,,,,,1840,m,uk,,,
mdp.39015063542537,1895,1895,1873,reviewed,283393,32292356,Austin[COMMA] Alfred[COMMA],London;New York;Macmillan & co.;1895.,,Madonna[APOSTROPHE]s child,rev,,,1873,FR,1835,m,uk,,,
loc.ark+=13960=t4nk3w21x,1873,1873,1873,reviewed,9574936,9429792,Colman[COMMA] James F.,Boston;Estes and Lauriat;1873;(Cambridge;John Wilson and son),,The knightly heart[COMMA] and other poems,rev,,,1873,ATL,,,,,obscure,
loc.ark+=13960=t90872358,1873,1873,1873,reviewed,9573388,1895447,O[APOSTROPHE]Reilly[COMMA] John Boyle[COMMA],Boston;Roberts brothers;1873.,,Songs from the southern seas,rev,,,1873,ATL,1844,m,ir,,,
uc1.b3579414,1873,1873,1873,reviewed,7861380,7313863,Morris[COMMA] William[COMMA],London;Ellis & White;1873.,,Love is enough[COMMA] or The freeing of Pharamond,rev,pos,,1873,FR,1834,m,uk,,,y
uc2.ark+=13960=t42r3t80r,1873,1873,1873,reviewed,6611528,1739342,Brown[COMMA] T. E.,London;Macmillan;1873.,,Betsy Lee,rev,neg,,1873,ATL,1830,m,uk,,,
uc2.ark+=13960=t75t3n448,1873,1873,1873,random,7692898,,Stewart[COMMA] William John.,London;Whittaker;1873.,,Scattered leaflets,,,,,,1849,m,uk,,,
uc1.$b803433,1873,1873,1873,random,9951038,,Ricketson[COMMA] Daniel[COMMA],New Bedord [Mass.;E. Anthony;1873.,,The factory-bell,,,,,,1813,m,us,,,
loc.ark+=13960=t3cz3pj65,1873,1873,1873,random,9573845,,Case[COMMA] Leonard[COMMA],Boston;J.R. Osgood and company;1873.,,Treasure trove;,,,,,,1820,m,us,,,
uc2.ark+=13960=t6vx06j62,1873,1873,1873,random,1424049,,Saltus[COMMA] Francis Saltus[COMMA],Philadelphia;J. B. Lippincott & co.;1873.,,Honey and gall,,,,,,1849,m,us,,,
loc.ark+=13960=t6tx46241,1872,1872,1872,reviewed,11209752,5877288,Turner[COMMA] Eliza (Sproat),Boston;J. R. Osgood & Comp.;1872.,,Out-of-door rhymes,rev,,,1872,ATL,1826,f,us,,,
uc2.ark+=13960=t02z17v0j,1872,1872,1872,reviewed,242299,2862442,Noel[COMMA] Roden[COMMA],London;Strahan & co.;1872.,,The red flag,rev,neg,,1873,FR,1834,m,uk,,,
loc.ark+=13960=t95720v25,1872,1872,1872,reviewed,9571531,,Thaxter[COMMA] Celia[COMMA],New York;Hurd and Houghton;Cambridge [Mass.;Riverside Press;1872.,,Poems,rev,pos,,1872,ATL,1835,f,us,,,
