docid,actualdate,inferreddate,firstpub,recept,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birth,gender,nationality,othername,notes,canon
mdp.39015063919453,1914,1914,1914,random,779417,,Gale[COMMA] Norman[COMMA],London;MacMillan and co.;1914.,,Collected poems,,,,,,1862,m,uk,,,
uc2.ark+=13960=t23b5z68r,1914,1914,1914,random,7654244,,Burton[COMMA] H. Bindon.,Dublin;Maunsel;1914.,,E̦lsyn̩[COMMA] and other poems,,,,,,,,,,,
loc.ark+=13960=t01z4r32p,1914,1914,1914,random,9583129,,Hewes[COMMA] Charles Edwin[COMMA],Estes Park[COMMA] Col.;The Egerton-Palmer press;c1914,,Songs of the Rockies,,,,,,1870,m,us,,,
nyp.33433074801030,1914,1914,1914,random,8657007,,<blank>,Chicago;Charles C. Thompson co.;c1914,,Songs of the underworld,,,,,,1875,m,us,Yore[COMMA] Clem,,
loc.ark+=13960=t0ms46c3p,1914,1914,1914,random,9578561,,Maxwell[COMMA] George Madison[COMMA],Roanoke[COMMA] Va.;Stone Print. and Manufacturing Co.;1914.,,Bare-foot days[COMMA] and other poems,,,,,,1876,m,us,,,
loc.ark+=13960=t42r4b17k,1914,1914,1914,random,7661311,,Hinckley[COMMA] Mercy Adeline[COMMA],New York;The Neale Publishing Company;1914.,,Life-colors,,,,,,1871,f,us,,,
mdp.39015063947074,1914,1914,1914,random,324282,,O[APOSTROPHE]Hagan[COMMA] Thomas[COMMA],Toronto;W. Briggs;1914.,,In the heart of the meadow,,,,,,1855,m,ca,,,
nyp.33433075790711,1914,1914,1914,random,8656818,,Fisher[COMMA] Benjamin Franklin[COMMA],Canton[COMMA] Ohio;The Franklin company;c1914,,Life harmonies,,,,,,1873,m,us,,,
uc2.ark+=13960=t90865x9t,1913,1913,1913,reviewed,6608677,10631320,Helston[COMMA] John.,London;Heinemann;1913.,,Aphrodite,rev,,,1914,PMV,1877,m,uk,,obscure,
loc.ark+=13960=t4pk0vn19,1915,1915,1913,reviewed,433785,869355,Frost[COMMA] Robert[COMMA],New York;Henry Holt and Company;1915.,,A boy[APOSTROPHE]s will,rev,,,1913,PMV,1874,m,us,,,y
uc1.b3342492,1913,1913,1913,reviewed,7930712,7699852,Towne[COMMA] Charles Hanson[COMMA],New York;M. Kennerley;1913.,,Beyond the stars and other poems,rev,,,1914,PMV,1877,m,us,,,
uc2.ark+=13960=t92807683,1913,1913,1913,reviewed,7676720,5294931,Wheelock[COMMA] John Hall[COMMA],Boston;Sherman[COMMA] French;1913.,,Love and liberation;,rev,neg,,1914,PMV,1886,m,us,,,
nyp.33433075789499,1913,1913,1913,reviewed,6536257,4859603,Evans[COMMA] Florence Wilkinson.,Boston;New York;Houghton mMifflin company;1913.,,The ride home;,rev,,,1917,PMV,1878,f,us,,,
loc.ark+=13960=t0tq6s38g,1913,1913,1913,random,1507483,,Malloch[COMMA] Douglas.,New York;George H. Doran company;c1913,,The woods,,,,,,1877,m,us,,,
